"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"111" 111 99889 69050 218 0.93745 63612 110 216 2 107 2 107 42840 7052 2 7052 42837 111 49999 49890
"112" 112 99888 68510 220 0.55436 69050 111 218 2 108 2 108 42838 7053 2 7053 42835 112 49999 49889
"113" 113 99887 5538 222 0.48657 68510 112 220 2 109 2 109 42837 7053 2 7053 42834 113 49999 49888
"114" 114 99886 21262 224 0.61487 5538 113 222 2 110 2 110 42837 7052 2 7052 42834 114 49999 49887
"115" 115 99885 61648 226 0.87705 21262 114 224 2 111 2 111 42837 7051 2 7051 42834 115 49999 49886
"116" 116 99884 60850 228 0.7074 61648 115 226 2 112 2 112 42837 7050 2 7050 42834 116 49999 49885
"117" 117 99883 19146 230 0.9291 21262 114 224 2 113 2 113 42837 7049 2 7049 42834 117 49999 49884
"118" 118 99882 76730 232 1.0684 2945 105 206 2 114 2 113 42836 7050 3 7049 42832 118 49999 49883
"119" 119 99881 51894 234 1.0676 76730 118 232 2 115 2 114 42836 7049 3 7048 42832 119 49999 49882
"120" 120 99880 42786 236 0.66045 51894 119 234 2 116 2 115 42836 7048 3 7047 42832 120 49999 49881
"121" 121 99879 4137 238 0.51677 42786 120 236 2 117 2 116 42835 7048 3 7047 42831 121 49999 49880
"122" 122 99878 3591 240 0.62849 4137 121 238 2 118 2 117 42835 7047 3 7046 42831 122 49999 49879
"123" 123 99877 38631 242 0.22679 3591 122 240 2 119 2 118 42834 7047 3 7046 42830 123 49999 49878
"124" 124 99876 33061 244 1.0544 38631 123 242 2 120 2 119 42834 7046 3 7045 42830 124 49999 49877
"125" 125 99875 67924 246 1.0917 60850 116 228 2 121 2 120 42834 7045 3 7044 42830 125 49999 49876
"126" 126 99874 33565 248 0.79145 67924 125 246 2 122 2 121 42834 7044 3 7043 42830 126 49999 49875
"127" 127 99873 15721 250 0.27198 33565 126 248 2 123 2 122 42833 7044 3 7043 42829 127 49999 49874
"128" 128 99872 93131 252 1.1359 19146 117 230 2 124 2 123 42833 7043 3 7042 42829 128 49999 49873
"129" 129 99871 87604 254 0.42479 93131 128 252 2 125 2 124 42833 7042 3 7041 42829 129 49999 49872
"130" 130 99870 83608 256 0.88953 87604 129 254 2 126 2 125 42831 7043 3 7042 42827 130 49999 49871
"131" 131 99869 82546 258 0.76491 83608 130 256 2 127 2 126 42830 7043 3 7042 42826 131 49999 49870
"132" 132 99868 76777 260 0.80458 83608 130 256 2 128 2 127 42830 7042 3 7041 42826 132 49999 49869
"133" 133 99867 86275 262 0.49279 76777 132 260 2 129 2 128 42830 7041 3 7040 42826 133 49999 49868
"134" 134 99866 95798 264 0.8569 76777 132 260 2 130 2 129 42829 7041 3 7040 42825 134 49999 49867
"135" 135 99865 42699 266 0.90071 82546 131 258 2 131 2 130 42829 7040 3 7039 42825 135 49999 49866
"136" 136 99864 91917 268 0.80699 42699 135 266 2 132 2 131 42827 7041 3 7040 42823 136 49999 49865
"137" 137 99863 74193 270 0.56219 91917 136 268 2 133 2 132 42826 7041 3 7040 42822 137 49999 49864
"138" 138 99862 79099 272 0.5832 74193 137 270 2 134 2 133 42825 7041 3 7040 42821 138 49999 49863
"139" 139 99861 52670 274 0.70598 91917 136 268 2 135 2 134 42824 7041 3 7040 42820 139 49999 49862
"140" 140 99860 79709 276 0.81404 52670 139 274 2 136 2 135 42824 7040 3 7039 42820 140 49999 49861
"141" 141 99859 16117 278 0.92754 93131 128 252 2 137 2 136 42823 7040 3 7039 42819 141 49999 49860
"142" 142 99858 9959 280 0.75372 16117 141 278 2 138 2 137 42823 7039 3 7038 42819 142 49999 49859
"143" 143 99857 87809 282 0.93258 82546 131 258 2 139 2 138 42823 7038 3 7037 42819 143 49999 49858
"144" 144 99856 44869 284 0.56863 87809 143 282 2 140 2 139 42823 7037 3 7036 42819 144 49999 49857
"145" 145 99855 5042 286 0.90264 44869 144 284 2 141 2 140 42823 7036 3 7035 42819 145 49999 49856
"146" 146 99854 81019 288 0.95091 79709 140 276 2 142 2 141 42823 7035 3 7034 42819 146 49999 49855
"147" 147 99853 35158 290 0.69166 81019 146 288 2 143 2 142 42822 7035 3 7034 42818 147 49999 49854
"148" 148 99852 49501 292 0.86158 35158 147 290 2 144 2 143 42822 7034 3 7033 42818 148 49999 49853
"149" 149 99851 48311 294 0.90034 49501 148 292 2 145 2 144 42821 7034 3 7033 42817 149 49999 49852
"150" 150 99850 45515 296 0.742 48311 149 294 2 146 2 145 42821 7033 3 7032 42817 150 49999 49851
"151" 151 99849 95794 298 0.51166 45515 150 296 2 147 2 146 42821 7032 3 7031 42817 151 49999 49850
"152" 152 99848 80681 300 0.60999 95794 151 298 2 148 2 147 42821 7031 3 7030 42817 152 49999 49849
"153" 153 99847 37855 302 0.96811 35158 147 290 2 149 2 148 42821 7030 3 7029 42817 153 49999 49848
"154" 154 99846 51329 304 0.39833 37855 153 302 2 150 2 149 42821 7029 3 7028 42817 154 49999 49847
"155" 155 99845 44867 306 0.95157 37855 153 302 2 151 2 150 42820 7029 3 7028 42816 155 49999 49846
"156" 156 99844 2946 306 0.9868 76777 132 260 3 151 2 150 42820 7029 3 7028 42815 156 49999 49845
"157" 157 99843 82568 308 0.84187 2946 156 306 3 152 2 151 42818 7030 3 7029 42813 157 49999 49844
"158" 158 99842 51754 310 0.25269 82568 157 308 3 153 2 152 42817 7030 3 7029 42812 158 49999 49843
"159" 159 99841 71814 312 0.59409 51754 158 310 3 154 2 153 42817 7029 3 7028 42812 159 49999 49842
"160" 160 99840 32269 314 0.67424 71814 159 312 3 155 2 154 42817 7028 3 7027 42812 160 49999 49841
"161" 161 99839 71834 316 0.99251 95798 134 264 3 156 2 155 42817 7027 3 7026 42812 161 49999 49840
"162" 162 99838 23421 318 0.65529 71834 161 316 3 157 2 156 42817 7026 3 7025 42812 162 49999 49839
"163" 163 99837 28025 320 0.75657 23421 162 318 3 158 2 157 42816 7026 3 7025 42811 163 49999 49838
"164" 164 99836 46838 322 0.35172 28025 163 320 3 159 2 158 42815 7026 3 7025 42810 164 49999 49837
"165" 165 99835 42789 324 0.5908 46838 164 322 3 160 2 159 42815 7025 3 7024 42810 165 49999 49836
